15.1 -20.13 -112.295 0.352285 40.9727 0.096995 1.001 0.334457
15.1 0 -113.818 0.244831 41.3108 0.0969872 8.21388 0.375555
15.1 20.13 -111.647 0.360147 41.5166 0.117101 15.3097 0.214268
7.55 -40.26 -49.8618 0.280025 23.8747 0.0921255 -6.4493 0.111089
7.55 -20.13 -55.88 0.317246 23.224 0.105952 -0.066404 0.103135
7.55 0 -58.9296 0.270936 23.5798 0.109774 6.67674 0.13093
7.55 20.13 -56.5375 0.280368 24.2642 0.0926806 13.9676 0.132844
7.55 40.26 -51.304 0.319912 25.4629 0.0893589 20.3049 0.121604
0 -40.26 2.64136 0.290677 7.0052 0.0893019 -6.20768 0.0967319
0 -20.13 -3.54542 0.296401 6.19134 0.0795397 -0.48369 0.0939234
0 0 -7.15704 0.240973 6.30231 0.104207 5.78969 0.0594628
0 20.13 -3.2956 0.26151 7.05144 0.0809408 12.2811 0.120529
0 40.26 1.80674 0.304906 8.42141 0.0887874 17.8831 0.128033
-7.55 -40.26 54.4337 0.446826 -10.1388 0.106404 -4.99225 0.164635
-7.55 -20.13 48.3376 0.298934 -10.4572 0.117258 -0.388755 0.102378
-7.55 0 46.3581 0.270468 -10.9408 0.10177 4.74373 0.0949177
-7.55 20.13 49.4129 0.264476 -10.1308 0.093489 10.4464 0.119601
-7.55 40.26 54.0683 0.319634 -8.74105 0.105854 15.2211 0.173152
-15.1 -40.26 98.5166 0.423222 -26.1777 0.121443 -4.89557 0.216159
-15.1 -20.13 95.2696 0.348932 -28.003 0.106821 -0.977057 0.110876
-15.1 0 92.4689 0.3345 -28.1828 0.113017 3.90442 0.0619164
-15.1 20.13 95.7453 0.313723 -27.4835 0.0933313 8.73207 0.0906466
-15.1 40.26 99.4179 0.298514 -24.8175 0.0954334 12.8407 0.158092
